,ori,data_year,offense,state_abbr,cleared,actual
19,AL0012300,2017,violent-crime,AL,8,14
0,AL0010000,2018,violent-crime,AL,261,729
1,AL0010100,2018,violent-crime,AL,4,477
2,AL0010200,2018,violent-crime,AL,861,4025
3,AL0010300,2018,violent-crime,AL,10,16
4,AL0010400,2018,violent-crime,AL,32,224
5,AL0010500,2018,violent-crime,AL,51,94
6,AL0010600,2018,violent-crime,AL,0,1
7,AL0010700,2018,violent-crime,AL,1,20
8,AL0010800,2018,violent-crime,AL,89,109
9,AL0010900,2018,violent-crime,AL,22,30
10,AL0011000,2018,violent-crime,AL,18,75
11,AL0011100,2018,violent-crime,AL,19,46
12,AL0011200,2018,violent-crime,AL,39,75
13,AL0011300,2018,violent-crime,AL,29,74
14,AL0011400,2018,violent-crime,AL,0,16
15,AL0011800,2018,violent-crime,AL,0,0
16,AL0011900,2018,violent-crime,AL,19,71
17,AL0012000,2018,violent-crime,AL,1,4
18,AL0012100,2018,violent-crime,AL,70,113
19,AL0012200,2018,violent-crime,AL,3,19
0,AL0010000,2019,violent-crime,AL,62,209
1,AL0010100,2019,violent-crime,AL,3,383
2,AL0010300,2019,violent-crime,AL,0,0
3,AL0010400,2019,violent-crime,AL,18,122
4,AL0010500,2019,violent-crime,AL,1,2
5,AL0010600,2019,violent-crime,AL,4,20
6,AL0010700,2019,violent-crime,AL,0,59
7,AL0010800,2019,violent-crime,AL,58,67
8,AL0010900,2019,violent-crime,AL,27,36
9,AL0011000,2019,violent-crime,AL,8,43
10,AL0011100,2019,violent-crime,AL,15,24
11,AL0011200,2019,violent-crime,AL,67,127
12,AL0011300,2019,violent-crime,AL,14,29
13,AL0011400,2019,violent-crime,AL,1,9
14,AL0011900,2019,violent-crime,AL,9,25
15,AL0012000,2019,violent-crime,AL,0,0
16,AL0012100,2019,violent-crime,AL,10,28
17,AL0012200,2019,violent-crime,AL,0,6
18,AL0012300,2019,violent-crime,AL,1,3
19,AL0012400,2019,violent-crime,AL,22,28
0,AL0010000,2010,property-crime,AL,104,5857
1,AL0010100,2010,property-crime,AL,321,2189
2,AL0010200,2010,property-crime,AL,0,8637
3,AL0010400,2010,property-crime,AL,271,1352
4,AL0010500,2010,property-crime,AL,141,516
5,AL0010600,2010,property-crime,AL,208,514
6,AL0010700,2010,property-crime,AL,18,348
7,AL0010800,2010,property-crime,AL,41,621
8,AL0010900,2010,property-crime,AL,54,531
9,AL0011000,2010,property-crime,AL,273,1540
10,AL0011100,2010,property-crime,AL,59,231
11,AL0011200,2010,property-crime,AL,577,2173
12,AL0011300,2010,property-crime,AL,42,627
13,AL0011400,2010,property-crime,AL,14,164
14,AL0011600,2010,property-crime,AL,0,3
15,AL0011900,2010,property-crime,AL,99,674
16,AL0012000,2010,property-crime,AL,5,94
17,AL0012100,2010,property-crime,AL,20,172
18,AL0012200,2010,property-crime,AL,69,294
19,AL0012300,2010,property-crime,AL,0,31
